005              "005"
100lions          "100 Lions"
10yard            "10-Yard Fight"
10yard85          "10-Yard Fight '85"
10yardj           "10-Yard Fight"
11beat            "Eleven Beat"
15lions           "15 Lions"
18w               "18 Wheeler"
18w2              "18 Wheeler"
18wheelr          "18 Wheeler"
18wheelro         "18 Wheeler"
18wheelrt         "18 Wheeler"
18wheels          "18 Wheeler"
18wheelu          "18 Wheeler"
1941              "1941: Counter Attack"
1941j             "1941: Counter Attack"
1941r1            "1941: Counter Attack"
1941u             "1941: Counter Attack"
1942              "1942"
1942a             "1942"
1942abl           "1942"
1942b             "1942"
1942h             "Supercharger 1942"
1942p             "1942"
1942w             "1942"
1943              "1943: The Battle of Midway"
1943b             "1943: Battle of Midway"
1943bj            "1943: Midway Kaisen"
1943j             "1943: Midway Kaisen"
1943ja            "1943: Midway Kaisen"
1943jah           "1943: Midway Kaisen"
1943kai           "1943 Kai: Midway Kaisen"
1943mii           "1943: The Battle of Midway Mark II"
1943u             "1943: The Battle of Midway"
1943ua            "1943: The Battle of Midway"
1944              "1944: The Loop Master"
1944d             "1944: The Loop Master"
1944j             "1944: The Loop Master"
1944u             "1944: The Loop Master"
1945kiii          "1945k III"
1945kiiin         "1945k III"
1945kiiio         "1945k III"
19in1             "19 in 1 MAME bootleg"
19xx              "19XX: The War Against Destiny"
19xxa             "19XX: The War Against Destiny"
19xxar1           "19XX: The War Against Destiny"
19xxb             "19XX: The War Against Destiny"
19xxd             "19XX: The War Against Destiny"
19xxh             "19XX: The War Against Destiny"
19xxj             "19XX: The War Against Destiny"
19xxjr1           "19XX: The War Against Destiny"
19xxjr2           "19XX: The War Against Destiny"
19xxu             "19XX: The War Against Destiny"
1on1gov           "1 on 1 Government"
2020bb            "2020 Super Baseball"
2020bba           "2020 Super Baseball"
2020bbh           "2020 Super Baseball"
20pacgal          "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion"
20pacgalr0        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion"
20pacgalr1        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion"
20pacgalr2        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion"
20pacgalr3        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion"
20pacgalr4        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion"
24_130            "24 v1.30"
24_140            "24 v1.40"
24_144            "24 v1.44"
24_150            "24 v1.50"
24cdjuke          "Midcoin Juke Box 24CD"
25pacman          "Pac-Man - 25th Anniversary Edition"
25pacmano         "Pac-Man - 25th Anniversary Edition"
280zzzap          "280-ZZZAP"
2mindril          "Two Minute Drill"
2spicy            "2 Spicy"
30test            "30 Test"
39in1             "39 in 1 MAME bootleg"
3bagflnz          "3 Bags Full"
3bagflvt          "3 Bags Full"
3cdpoker          "3 Cards Poker 96"
3cdpokera         "3 Cards Poker 96"
3countb           "3 Count Bout / Fire Suplex"
3dobios           "3DO Bios"
3in1semi          "New HyperMan"
3in1semia         "New HyperMan"
3kokushi          "Sankokushi"
3lilpigs          "3 Lil' Pigs"
3on3dunk          "3 On 3 Dunk Madness"
3stooges          "The Three Stooges In Brides Is Brides"
3stoogesa         "The Three Stooges In Brides Is Brides"
3super8           "3 Super 8"
3wishrd           "Three Wishes Red"
3wonders          "Three Wonders"
3wondersb         "Three Wonders"
3wondersh         "Three Wonders"
3wondersr1        "Three Wonders"
3wondersu         "Three Wonders"
3x3puzzl          "3X3 Puzzle"
3x3puzzla         "3X3 Puzzle"
40love            "Forty-Love"
40lovej           "Forty-Love"
48in1             "48 in 1 MAME bootleg"
48in1a            "48 in 1 MAME bootleg"
48in1b            "48 in 1 MAME bootleg"
48in1c            "48 in 1 MAME bootleg"
4dwarrio          "4-D Warriors"
4enlinea          "Cuatro en Linea"
4enlineb          "Cuatro en Linea"
4enraya           "4 En Raya"
4enrayaa          "4 En Raya"
4in1              "4 Fun in 1"
4in1a             "4 in 1 MAME bootleg"
4in1b             "4 in 1 MAME bootleg"
4in1boot          "Puzzle King"
4psimasy          "Mahjong 4P Shimasho"
4roses            "Four Roses"
4rosesa           "Four Roses"
500gp             "500 GP"
50lionrr          "50 Lions - Roaring Riches"
50lions           "50 Lions"
50lionsm          "50 Lions"
5acespkr          "5-Aces Poker"
5clown            "Five Clown"
5clowna           "Five Clown"
5clownsp          "Five Clown"
5drag             "5 Dragons"
5dragce           "5 Dragons - Cash Express"
5dragsp           "5 Dragons"
5koipp            "5 Koi - Power Pay"
600               "600"
60in1             "60 in 1 MAME bootleg"
64street          "64th. Street - A Detective Story"
64streetj         "64th. Street - A Detective Story"
64streetja        "64th. Street - A Detective Story"
720               "720 Degrees"
720g              "720 Degrees"
720gr1            "720 Degrees"
720r1             "720 Degrees"
720r2             "720 Degrees"
720r3             "720 Degrees"
7jigen            "7jigen no Youseitachi - Mahjong 7 Dimensions"
7mezzo            "7 e Mezzo"
7ordi             "7 Ordi"
7smash            "7 Smash"
7toitsu           "Chi-Toitsu"
800fath           "800 Fathoms"
800fatha          "800 Fathoms"
86lions           "86 Lions"
88games           "'88 Games"
8ball             "Video Eight Ball"
8ball1            "Video Eight Ball"
8ballact          "Eight Ball Action"
8ballact2         "Eight Ball Action"
8bpm              "Eight Ball Action"
98best44          "Neo Print - '98 NeoPri Best 44"
99bottles         "99 Bottles of Beer"
99lstwar          "'99: The Last War"
99lstwara         "'99: The Last War"
99lstwarb         "'99: The Last War"
99lstwark         "'99: The Last War"
9ballsht          "9-Ball Shootout"
9ballsht2         "9-Ball Shootout"
9ballsht3         "9-Ball Shootout"
9ballshtc         "9-Ball Shootout Championship"
a51mxr3k          "Area 51 / Maximum Force Duo"
a51mxr3ka         "Area 51 / Maximum Force Duo"
a51site4          "Area 51: Site 4"
a51site4a         "Area 51: Site 4"
aadvent           "African Adventure"
aafb              "All American Football"
aafbb             "All American Football"
aafbc             "All American Football"
aafbd2p           "All American Football"
aar_101           "Aaron Spelling"
aavenger          "Airborne Avenger"
abacus            "Abacus"
abaseb            "Atari Baseball"
abaseb2           "Atari Baseball"
abattle           "Astro Battle"
abattle2          "Astro Battle"
abcheck           "Abnormal Check"
abclimax          "After Burner Climax"
abcop             "A.B. Cop"
abcopd            "A.B. Cop"
abcopj            "A.B. Cop"
abcopjd           "A.B. Cop"
abigchs           "Big Cheese"
ablast            "Hong Tian Lei"
ablastb           "Hong Tian Lei"
abnudge           "Animal Bonus Nudge"
abnudgeb          "Animal Bonus Nudge"
abnudged          "Animal Bonus Nudge"
abnudgeo          "Animal Bonus Nudge"
abscam            "Abscam"
abunai            "Abunai Houkago - Mou Matenai"
aburner           "After Burner"
aburner2          "After Burner II"
aburner2g         "After Burner II"
abv106            "Airborne"
abv106r           "Airborne"
ac1bbclb          "Big Break Club"
ac1bbclba         "Big Break Club"
ac1bluec          "Blue Chip"
ac1blueca         "Blue Chip"
ac1bluecb         "Blue Chip"
ac1bluecc         "Blue Chip"
ac1bluecd         "Blue Chip"
ac1clbmn          "Club Money"
ac1clbsv          "Club Sovereign"
ac1clbxt          "Club Xtra"
ac1clbxta         "Club Xtra"
ac1cshtw          "Cash Towers"
ac1dbldx          "Double Deluxe"
ac1gogld          "Go For Gold"
ac1hideh          "Hi De Hi Deluxe"
ac1hideha         "Hi De Hi Deluxe"
ac1hotpf          "Hot Profit"
ac1nudbk          "Nudge Break"
ac1nudbka         "Nudge Break"
ac1nudbkb         "Nudge Break"
ac1nudbkc         "Nudge Break"
ac1nudbkd         "Nudge Break"
ac1piaca          "Play It Again Casino"
ac1piacl          "Play It Again Club"
ac1piacla         "Play It Again Club"
ac1piaclb         "Play It Again Club"
ac1piaclc         "Play It Again Club"
ac1primt          "Primetime"
ac1prmcl          "Premier Club"
ac1prmcla         "Premier Club"
ac1prmclb         "Premier Club"
ac1prmclc         "Premier Club"
ac1pster          "Pound Sterling"
ac1pstrt          "Pound Stretcher"
ac1roll           "Roll Up"
ac1rolla          "Roll Up"
ac1rollb          "Roll Up"
ac1rundx          "Runner Deluxe Club"
ac1rundxa         "Runner Deluxe Club"
ac1shid           "Super Hi De Hi"
ac1shida          "Super Hi De Hi"
ac1sstrk          "Starstruck"
ac1sstrka         "Starstruck"
ac1sstrkb         "Starstruck"
ac1taklv          "Take It Or Leave It"
ac1totb           "Top Of The Bill"
ac1unk            "unknown Ace System 1 game"
ac1xpres          "Xpress"
acchi             "Janken Game Acchi Muite Hoi!"
ace               "Ace"
aceattac          "Ace Attacker"
aceattaca         "Ace Attacker"
acedrvrw          "Ace Driver: Racing Evolution"
acefruit          "Silhouette"
acheart           "Arcana Heart"
acheartf          "Arcana Heart Full"
acitya            "Atlantic City Action"
aclown            "Clown"
acombat           "Astro Combat"
acombat3          "Astro Combat"
